"Protein_IDs"	"Majority_protein_IDs"	"Peptide_counts_all"	"Peptide_counts_razor_unique"	"Peptide_counts_unique"	"Fasta_headers"	"Number_of_proteins"	"Peptides"	"Razor_unique_peptides"	"Unique_peptides"	"Peptides_D_R1"	"Peptides_D_R2"	"Peptides_D_R3"	"Peptides_E_R1"	"Peptides_E_R2"	"Peptides_E_R3"	"Razor_unique_peptides_D_R1"	"Razor_unique_peptides_D_R2"	"Razor_unique_peptides_D_R3"	"Razor_unique_peptides_E_R1"	"Razor_unique_peptides_E_R2"	"Razor_unique_peptides_E_R3"	"Unique_peptides_D_R1"	"Unique_peptides_D_R2"	"Unique_peptides_D_R3"	"Unique_peptides_E_R1"	"Unique_peptides_E_R2"	"Unique_peptides_E_R3"	"Sequence_coverage"	"Unique_razor_sequence_coverage"	"Unique_sequence_coverage"	"Mol_weight_kDa"	"Sequence_length"	"Sequence_lengths"	"Q_value"	"Identification_type_D_R1"	"Identification_type_D_R2"	"Identification_type_D_R3"	"Identification_type_E_R1"	"Identification_type_E_R2"	"Identification_type_E_R3"	"Sequence_coverage_D_R1"	"Sequence_coverage_D_R2"	"Sequence_coverage_D_R3"	"Sequence_coverage_E_R1...."	"Sequence_coverage_E_R2"	"Sequence_coverage_E_R3"	"Intensity"	"Intensity_D_R1"	"Intensity_D_R2"	"Intensity_D_R3"	"Intensity_E_R1"	"Intensity_E_R2"	"Intensity_E_R3"	"iBAQ"	"iBAQ_D_R1"	"iBAQ_D_R2"	"iBAQ_D_R3"	"iBAQ_E_R1"	"iBAQ_E_R2"	"iBAQ_E_R3"	"LFQ_intensity_D_R1"	"LFQ_intensity_D_R2"	"LFQ.intensity_D_R3"	"LFQ_intensity_E_R1"	"LFQ_intensity_E_R2"	"LFQ_intensity_E_R3"	"MS_MS_Count_D_R1"	"MS_MS_Count_D_R2"	"MS_MS_Count_D_R3"	"MS_MS_Count_E_R1"	"MS_MS_Count_E_R2"	"MS_MS_Count_E_R3"	"MS_MS_Count"	"Only_identified_by_site"	"Reverse"	"Potential_contaminant"	"id"	"Peptide_IDs"	"Peptide_is_razor"	"Mod_peptide_IDs"	"Evidence_IDs"	"MS_MS_IDs"	"Best_MS_MS"	"Oxidation_M_site_IDs"	"Oxidation_M_site_positions"
"CON__A2I7N1"	"CON__A2I7N1;CON__A2I7N0"	"1;1"	"1;1"	"1;1"	">A2I7N1 TREMBL:A2I7N1 (Bos taurus) SERPINA3-5;>A2I7N0 TREMBL:A2I7N0;Q28922;Q3ZEJ6 (Bos taurus) SERPINA3-4"	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2.9	2.9	2.9	46.397	411	"411;411"	0.0057446	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	2.9	2.9	2.9	2.9	2.9	2.9	"17613000"	2610000	1956000	2715600	2566700	5125100	2639800	880660	130500	97799	135780	128340	256260	131990	0	0	0	0	0	2602500	0	0	1	0	1	1	3	""	""	"+"	0	"4338"	"True"	"4358"	"28932;28933;28934;28935;28936;28937;28938;28939"	"40747;40748;40749;40750;40751;40752;40753;40754"	"40751"	""	""
"CON__P00761"	"CON__P00761"	"5"	"5"	"5"	">P00761 SWISS-PROT:P00761|TRYP_PIG Trypsin - Sus scrofa (Pig)."	1	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	31.6	31.6	31.6	24.409	231	"231"	0	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	31.6	31.6	31.6	31.6	31.6	31.6	"36796000000"	6148700000	5778100000	6121200000	6.238e+09	6209600000	6300200000	3345100000	558980000	525280000	556470000	567090000	564510000	572740000	6163800000	6.477e+09	6441700000	6244900000	6644500000	6250100000	18	20	21	22	20	17	118	""	""	"+"	1	"5610;6413;7267;12169;12184"	"True;True;True;True;True"	"5634;6442;6443;7298;12232;12247"	"37263;37264;37265;37266;37267;37268;37269;37270;37271;37272;37273;37274;37275;37276;37277;37278;42710;42711;42712;42713;42714;42715;42716;42717;42718;42719;48367;48368;48369;48370;48371;48372;81268;81269;81270;81271;81272;81273;81274;81275;81276;81277;81278;81279;81280;81281;81282;81386;81387;81388;81389;81390;81391;81392;81393;81394;81395;81396"	"52481;52482;52483;52484;52485;52486;52487;52488;52489;52490;52491;52492;52493;52494;52495;52496;52497;52498;52499;52500;52501;52502;52503;52504;52505;52506;52507;52508;52509;52510;52511;52512;52513;52514;52515;52516;52517;60002;60003;60004;60005;60006;60007;60008;60009;60010;60011;60012;60013;60014;60015;60016;60017;67713;67714;67715;67716;67717;67718;67719;67720;67721;67722;67723;67724;67725;67726;67727;67728;67729;67730;67731;67732;67733;113705;113706;113707;113708;113709;113710;113711;113712;113713;113714;113715;113716;113717;113718;113719;113720;113721;113722;113723;113724;113725;113726;113727;113728;113729;113730;113731;113732;113733;113734;113735;113736;113737;113738;113739;113740;113741;113742;113743;113744;113872;113873;113874;113875;113876;113877;113878;113879;113880"	"52482;60007;67729;113716;113879"	"0"	"94"
"P02768"	"P02768upsedyp|ALBU_HUMAN_upsedyp;CON__P02768-1"	"17;17;2;1"	"17;17;2;1"	"17;17;2;1"	">P02768upsedyp|ALBU_HUMAN_upsedyp Serum albumin (Chain 26-609) - Homo sapiens (Human);>P02768-1 SWISS-PROT:P02768-1 Tax_Id=9606 Gene_Symbol=ALB Isoform 1 of Serum albumin precursor"	4	17	17	17	17	16	16	14	16	14	17	16	16	14	16	14	17	16	16	14	16	14	35.1	35.1	35.1	66.356	584	"584;609;607;610"	0	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	35.1	32.9	33.4	30.3	33.7	30.8	"4131700000"	916320000	919500000	972620000	440660000	449580000	433070000	118050000	26181000	26271000	27789000	12590000	12845000	12373000	916080000	898640000	961520000	486810000	459830000	488470000	27	28	29	17	15	14	130	""	""	"+"	2	"27;979;1946;3546;3627;4960;6517;7486;7639;8067;9439;9557;10216;10335;12344;13702;13815"	"True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True"	"27;987;988;1958;3562;3643;4982;6547;7517;7670;8099;9488;9606;10268;10387;12409;13773;13886"	"186;187;188;189;190;191;7140;7141;7142;7143;7144;7145;7146;7147;7148;7149;7150;7151;7152;7153;13459;13460;13461;13462;13463;23866;23867;23868;23869;23870;23871;23872;24427;24428;24429;24430;33155;33156;33157;43493;43494;43495;43496;43497;49754;49755;49756;49757;49758;49759;49760;49761;49762;49763;49764;49765;49766;50775;50776;50777;50778;50779;50780;50781;53809;53810;53811;53812;53813;53814;53815;53816;53817;53818;53819;53820;53821;53822;53823;62712;62713;62714;62715;62716;62717;62718;62719;62720;62721;62722;62723;62724;62725;63503;63504;63505;63506;63507;63508;67930;67931;67932;67933;67934;67935;67936;68734;68735;68736;68737;68738;68739;68740;68741;68742;82559;82560;82561;82562;82563;82564;82565;82566;82567;82568;82569;82570;92158;92159;92160;92161;92162;92163;92840;92841;92842;92843;92844;92845"	"313;314;315;316;317;318;319;320;321;322;323;10743;10744;10745;10746;10747;10748;10749;10750;10751;10752;10753;10754;10755;10756;19214;19215;33855;33856;34666;34667;34668;46954;46955;60992;69619;69620;69621;69622;69623;69624;69625;69626;69627;69628;69629;69630;69631;71127;71128;71129;71130;71131;71132;71133;71134;75317;75318;75319;75320;75321;75322;75323;75324;75325;75326;75327;75328;75329;75330;75331;75332;87210;87211;87212;87213;87214;87215;87216;87217;87218;87219;87220;87221;87222;87223;87224;87225;88213;88214;88215;94539;94540;94541;94542;94543;94544;94545;94546;94547;95677;95678;95679;115656;115657;115658;115659;115660;115661;115662;115663;115664;115665;115666;115667;115668;115669;115670;115671;115672;115673;115674;115675;115676;115677;129430;129431;129432;129433;129434;129435;129436;129437;129438;129439;130473;130474;130475"	"316;10756;19214;33856;34668;46954;60992;69622;71132;75325;87222;88215;94544;95678;115669;129430;130473"	"1;2;3"	"297;328;547"
"CON__P04264"	"CON__P04264"	"5;2;1;1;1;1"	"5;2;1;1;1;1"	"3;1;0;0;0;0"	">P04264 SWISS-PROT:P04264 Tax_Id=9606 Gene_Symbol=KRT1 Keratin, type II cytoskeletal 1"	6	5	5	3	3	4	4	4	5	4	3	4	4	4	5	4	2	2	2	2	3	2	8.4	8.4	5.3	66.017	644	"644;606;524;539;572;578"	0	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	4.7	6.5	6.5	6.5	8.4	6.8	"151980000"	22820000	20994000	18890000	22520000	43105000	23645000	4902400	736130	677240	609360	726460	1390500	762750	27196000	26885000	25032000	26155000	26966000	25086000	1	1	2	1	3	2	10	""	""	"+"	3	"3424;5304;10392;13280;13566"	"True;True;True;True;True"	"3439;5326;10444;13350;13637"	"23094;23095;23096;23097;23098;35315;35316;35317;35318;35319;35320;69073;69074;69075;69076;69077;69078;89346;89347;91213;91214;91215;91216;91217"	"32741;32742;32743;32744;49765;49766;49767;49768;49769;49770;96070;96071;96072;96073;96074;96075;96076;125739;125740;128114"	"32742;49766;96073;125740;128114"	""	""
"CON__P07477"	"CON__P07477"	"1"	"1"	"1"	">P07477 SWISS-PROT:P07477 Tax_Id=9606 Gene_Symbol=PRSS1 Trypsin-1 precursor"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	8.1	8.1	8.1	26.558	247	"247"	0	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	8.1	8.1	8.1	8.1	8.1	8.1	"3653900000"	36260000	671920000	633660000	757720000	795450000	758870000	456730000	4532500	83990000	79207000	94715000	99431000	94858000	54108000	751010000	690820000	717860000	785900000	778640000	2	3	3	4	3	3	18	""	""	"+"	4	"5611"	"True"	"5635"	"37279;37280;37281;37282;37283;37284;37285;37286;37287;37288;37289;37290"	"52518;52519;52520;52521;52522;52523;52524;52525;52526;52527;52528;52529;52530;52531;52532;52533;52534;52535"	"52519"	""	""
"CON__P13645"	"CON__P13645"	"2"	"2"	"2"	">P13645 SWISS-PROT:P13645 Tax_Id=9606 Gene_Symbol=KRT10 Keratin, type I cytoskeletal 10"	1	2	2	2	2	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	5.6	5.6	5.6	59.51	593	"593"	0.0014111	"By MS/MS"	"By MS/MS"	"By matching"	"By MS/MS"	"By MS/MS"	"By MS/MS"	5.6	2	2	2	2	2	"31163000"	6276200	3326000	4600200	4846300	5686700	6427400	1198600	241390	127920	176930	186400	218720	247210	6771000	0	0	0	0	0	1	1	0	1	1	1	5	""	""	"+"	5	"8822;10693"	"True;True"	"8868;10747"	"58595;71173;71174;71175;71176;71177;71178"	"81646;99076;99077;99078;99079"	"81646;99076"	""	""
"CON__P35527"	"CON__P35527"	"2"	"2"	"2"	">P35527 SWISS-PROT:P35527 Tax_Id=9606 Gene_Symbol=KRT9 Keratin, type I cytoskeletal 9"	1	2	2	2	2	2	1	1	0	2	2	2	1	1	0	2	2	2	1	1	0	2	5.1	5.1	5.1	62.129	623	"623"	0	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By matching"	"By MS/MS"	5.1	5.1	1.4	1.4	0	5.1	"19210000"	9248200	NA	9962100	NA	NA	NA	738860	355700	0	383160	0	0	0	0	0	10825000	0	0	0	3	2	1	1	0	2	9	""	""	"+"	6	"2449;11534"	"True;True"	"2462;11595"	"16708;16709;16710;16711;76926;76927;76928;76929;76930"	"23858;23859;23860;23861;107315;107316;107317;107318;107319"	"23858;107316"	""	""
"CON__P35908"	"CON__P35908"	"3;1;1;1;1;1;1;1"	"1;1;1;1;1;1;1;1"	"1;1;1;1;1;1;1;1"	">P35908 SWISS-PROT:P35908 Tax_Id=9606 Gene_Symbol=KRT2 Keratin, type II cytoskeletal 2 epidermal"	8	3	1	1	2	3	3	3	3	3	1	1	1	1	1	1	1	1	1	1	1	1	5	1.9	1.9	65.865	645	"645;531;535;551;564;564;564;590"	0.00050787	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	3.1	5	5	5	5	5	"53437000"	6397800	5413200	6753000	10920000	12955000	10999000	1370200	164050	138800	173150	280000	332170	282020	0	0	0	0	0	10843000	1	0	1	2	1	3	8	""	""	"+"	7	"3424;5304;8535"	"False;False;True"	"3439;5326;8578"	"23094;23095;23096;23097;23098;35315;35316;35317;35318;35319;35320;56781;56782;56783;56784;56785;56786"	"32741;32742;32743;32744;49765;49766;49767;49768;49769;49770;79183;79184;79185;79186;79187;79188;79189;79190;79191"	"32742;49766;79188"	""	""
"CON__P62894"	"CON__P62894"	"2"	"1"	"1"	">P62894 SWISS-PROT:P62894 Cytochrome c - Bos taurus (Bovine)."	1	2	1	1	2	2	2	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	18.1	7.6	7.6	11.703	105	"105"	0.0027125	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	18.1	18.1	18.1	7.6	18.1	18.1	"534660000"	84315000	81195000	91418000	99408000	93445000	84875000	89109000	14053000	13533000	15236000	16568000	15574000	14146000	0	0	0	0	0	83675000	1	2	2	2	2	2	11	""	""	"+"	8	"2183;11410"	"True;False"	"2195;11471"	"15061;15062;15063;15064;15065;15066;76109;76110;76111;76112;76113"	"21482;21483;21484;21485;21486;21487;21488;21489;21490;21491;21492;106157"	"21488;106157"	""	""
"CON__Q2KIS7"	"CON__Q2KIS7"	"3"	"3"	"3"	">Q2KIS7 SWISS-PROT:Q2KIS7 (Bos taurus) Tetranectin precursor"	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	21.8	21.8	21.8	22.144	202	"202"	0	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	21.8	21.8	21.8	21.8	21.8	21.8	"171590000"	29969000	33820000	34936000	15729000	37285000	19853000	19066000	3329900	3757800	3881700	1747600	4142800	2205900	35666000	38113000	41455000	15634000	26855000	18273000	2	3	3	1	1	0	10	""	""	"+"	9	"2751;4102;11315"	"True;True;True"	"2766;4120;11376"	"18614;18615;18616;18617;18618;18619;27373;27374;27375;27376;27377;27378;27379;75430;75431;75432;75433;75434;75435"	"26450;26451;26452;38780;38781;38782;38783;38784;38785;38786;105018"	"26451;38784;105018"	""	""
